Basin;Criteria;Indicator;Target;Unit;Response;Conf_Target;Status;Conf_Status;Weight
Kattegat;C1;DIN (Dec-Feb);5;µM;+;M;5.724;H;0.5
Kattegat;C1;DIP (Dec-Feb);0.49;µM;+;M;0.541;H;0.5
Kattegat;C2;Chlorophyll a (June-Sept);1.5;µg/l;+;L;1.434489188;H;0.5
Kattegat;C2;Secchi depth (June-Sept);7.6;m;-;H;7.9;H;0.5
The Sound;C1;DIN (Dec-Feb);3.3;µM;+;M;4.419;H;0.5
The Sound;C1;DIP (Dec-Feb);0.42;µM;+;M;0.638;H;0.5
The Sound;C2;Chlorophyll a (June-Sept);1.2;µg/l;+;M;1.817708333;L;0.5
The Sound;C2;Secchi depth (June-Sept);8.2;m;-;H;7.3;H;0.5
Great Belt;C1;DIN (Dec-Feb);5;µM;+;M;6.484;H;0.5
Great Belt;C1;DIP (Dec-Feb);0.59;µM;+;M;0.695;H;0.5
Great Belt;C2;Chlorophyll a (June-Sept);1.7;µg/l;+;M;2.741825;M;0.5
Great Belt;C2;Secchi depth (June-Sept);8.5;m;-;H;6.4;H;0.5
Kiel Bay;C1;DIN (Dec-Feb);5.5;µM;+;M;6.927;H;0.5
Kiel Bay;C1;DIP (Dec-Feb);0.57;µM;+;M;0.699;H;0.5
Kiel Bay;C2;Chlorophyll a (June-Sept);2;µg/l;+;M;2.349700881;M;0.5
Kiel Bay;C2;Secchi depth (June-Sept);7.4;m;-;H;5.9;H;0.5
Bay of Mecklenburg;C1;DIN (Dec-Feb);4.3;µM;+;M;5.674;H;0.5
Bay of Mecklenburg;C1;DIP (Dec-Feb);0.49;µM;+;M;0.611;H;0.5
Bay of Mecklenburg;C2;Chlorophyll a (June-Sept);1.8;µg/l;+;M;2.435931612;H;0.5
Bay of Mecklenburg;C2;Secchi depth (June-Sept);7.1;m;-;H;4.9;M;0.5
Gdansk Basin;C1;DIN (Dec-Feb);4.2;µM;+;M;5.005;H;0.5
Gdansk Basin;C1;DIP (Dec-Feb);0.36;µM;+;M;0.614;H;0.5
